Organisation name,Category,Phone,Email,WiFi,Computers,Device lending,Training and/or support,Essential Digital Skills (up to Level 2),Digital Skills Bootcamps,Target audience,Website,Additional information,Address,Postcode,lon,lat
St John's Centre,Community hub,0161 872 7795,info@stjohnscentre.org,x,x,NA,x,NA,NA,Everyone,https://www.stjohnscentre.org/,"Computer classes and drop-in sessions to help people gain digital skills; One-to-one help with online tasks and applications; access to our computers; WiFi, printing/scanning etc. to people who do not have these facilities at home.","St John's Road, Old Trafford",M16 7GX,-2.2684905,53.4579625
Stretford Library,Library,0161 912 3189,stretford.library@trafford.gov.uk,x,x,x,x,NA,NA,Everyone,http://www.trafford.gov.uk/residents/leisure-and-lifestyle/libraries/libraries.aspx,"Visit your local library to access computers, borrow a device or to improve your digital skills. Free Wi-Fi is also available (Your Trafford Guest).","Kingsway, Stretford",M32 8AP,-2.3124272,53.4460348
Stretford Public Hall,Community hub,0161 989 1689,friends@stretfordpublichall.org.uk,x,x,NA,x,NA,NA,Everyone,https://www.stretfordpublichall.org.uk/,Targeted at Stretford residents.,"Chester Rd, Stretford, Manchester",M32 0LG,-2.3069767,53.4464578
TDAS,Charity/community group,0161 872 7368 Refuge services: 07845 443840,NA,NA,NA,NA,x,NA,NA,NA,https://www.tdas.org.uk/,Provide the necessary equipment and skills needed for vulnerable families to reach their personal and professional potential.,"Gorse Hill Studios, Cavendish Road, Stretford, Manchester",M32 0PS,-2.2972555,53.4560867
The Hideaway,Community hub,0161 660 0299,info@thehideawaymanchester.com,x,x,NA,x,NA,NA,Everyone,https://www.thehideawaymanchester.com/,Targeted at Partington residents.,"Partington Shopping Centre, Central Road, Partington, Manchester",M31 4EL,-2.4258195,53.418866
The Salford Diocesan Trust,Training provider,0161 817 2222,NA,NA,NA,NA,x,x,NA,Everyone,https://www.dioceseofsalford.org.uk/,NA,"Cathedral Centre, 3 Ford Street, Salford",M3 6DP,-2.2601534,53.4837396
The Toy House,Charity/community group,0161 746 8185,email@thetoyhouse.org,NA,NA,x,x,NA,NA,Adults and young people with disabilities,https://www.thetoyhouse.org/,"The Toy House is an independent charity working in partnership with families, schools, grandparents, childminders, groups working with disabled adults plus other charities and groups from our diverse community.","The Toy House, Irlam Road, Flixton",M41 6AP,-2.3957611,53.447805
The Trafford Centre,Retailer,NA,NA,x,NA,NA,NA,NA,NA,Customers,https://traffordcentre.co.uk/,The Trafford Centre is a large indoor shopping centre and entertainment complex in Trafford.,"The Trafford Centre, Trafford Park, Stretford, Manchester",M17 8AA,-2.3488262,53.4653152
Timperley Library,Library,0161 912 3189,timperley.library@trafford.gov.uk,x,x,x,x,NA,NA,Everyone,http://www.trafford.gov.uk/residents/leisure-and-lifestyle/libraries/libraries.aspx,"Visit your local library to access computers, borrow a device or to improve your digital skills. Free Wi-Fi is also available (Your Trafford Guest).","405 Stockport Rd, Timperley, Altrincham",WA15 7XR,-2.3163933,53.398342
TLC,Charity/community group,0161 872 1100,enquiries@talklistenchange.org.uk,NA,NA,NA,x,NA,NA,Young people,https://talklistenchange.org.uk/,Digital Early Help Volunteers,"346 Chester Road, Manchester",M16 9EZ,-2.2667261,53.467583
Total Training Provision,Training provider,0800 038 5666,info@total-tp.com,NA,NA,NA,x,x,NA,Everyone,https://www.total-tp.com/,"At Total Training Provision we have a clear purpose; to innovate, influence and Inspire others through high quality and purposeful education and training.","Total Training Provision (Head Office, 13 Churchfield, Barnsley)",S70 2JT,-1.48621,53.5547296
Trafford College - Altrincham Campus,Education establishment,0161 886 7070,info@trafford.ac.uk,x,x,NA,x,x,NA,Students,https://trafford.ac.uk/,"Trafford College have a range of courses available, including an Essential Digital Skills Qualification for adults.","Manchester Rd, West Timperley, Timperley, Altrincham",WA14 5PQ,-2.3494991,53.405141
Trafford College - Stretford Campus,Education establishment,0161 886 7070,info@trafford.ac.uk,x,x,NA,x,x,NA,Students,https://trafford.ac.uk/,"Trafford College have a range of courses available, including an Essential Digital Skills Qualification for adults.","Talbot Rd, Old Trafford, Stretford, Manchester",M32 0TH,-2.290951,53.4574302
Trafford Town Hall Library,Library,0161 912 3189,libraries@trafford.gov.uk,x,x,NA,NA,NA,NA,Everyone,http://www.trafford.gov.uk/residents/leisure-and-lifestyle/libraries/libraries.aspx,"Visit your local library to access computers, borrow a device or to improve your digital skills. Free Wi-Fi is also available (Your Trafford Guest).","Trafford Town Hall, Talbot Road, Stretford",M32 0TH,-2.2872438,53.4587558
Training Strategies Ltd,Training provider,0151 523 9655,info@trainingstrategies.co.uk,NA,NA,NA,x,x,NA,Everyone,https://www.trainingstrategies.co.uk/,"Our unique approach to training has propelled individual employability opportunities and ensured business growth and performance success for organisations through our OFSTED accredited quality training, apprenticeships and employability programmes.","Training Strategies, 22 Oriel Road, Bootle",L20 7AD,-2.995368,53.4472911
TUF*C,Charity/community group,07956 518471,NA,NA,NA,NA,x,NA,NA,Young people,https://www.trafforddirectory.co.uk/kb5/trafford/fsd/service.page?id=j9GNGxrPbQs,"Young Digital Savvy Champions - online courses for 8-16 year olds to become more digitally savvy, staying safe in social media, signs of a predator and fake news.","Sharon Community Centre, 118 Chorlton Road, Manchester",M15 4AN,-2.2585495,53.4614327
United Response,Charity/community group,0161 873 7479,info@unitedresponse.org.uk,NA,NA,NA,x,NA,NA,Adults and young people with disabilities,https://www.unitedresponse.org.uk/,Supported Employment Service adapted to an online learning programme.,"10 Shawe Road, Urmston, Manchester",M41 5DL,-2.3716196,53.4478213
Urmston Library,Library,0161 912 3189,urmston.library@trafford.gov.uk,x,x,x,x,NA,NA,Everyone,http://www.trafford.gov.uk/residents/leisure-and-lifestyle/libraries/libraries.aspx,"Visit your local library to access computers, borrow a device or to improve your digital skills. Free Wi-Fi is also available (Your Trafford Guest).","Unit 34, Golden Way, Urmston",M41 0NA,-2.3535975,53.4495691
Woodsend Library,Library,0161 912 3189,urmston.library@trafford.gov.uk,x,x,x,x,NA,NA,Everyone,http://www.trafford.gov.uk/residents/leisure-and-lifestyle/libraries/libraries.aspx,"Visit your local library to access computers, borrow a device or to improve your digital skills. Free Wi-Fi is also available (Your Trafford Guest).","Woodsend Road, Flixton",M41 8GN,-2.3930988,53.4533979
University Academy 92,Digital Bootcamp provider,0161 507 1992,hello@UA92.ac.uk,NA,NA,NA,x,NA,x,Adults aged 19 +,https://ua92.ac.uk/,"Online course in Greater Manchester. Digital Skills Bootcamps offer free, flexible courses of up to 16 weeks. You'll be offered a job interview once you complete the course.","Brian Statham Way, Old Trafford, Stretford, Manchester",M16 0PU,-2.285108,53.4581946
The Growth Company,Digital Bootcamp provider,0161 228 1111,info@growthco.uk,NA,NA,NA,x,NA,x,Adults aged 19 +,https://www.growthco.uk/,"Online course in Greater Manchester. Digital Skills Bootcamps offer free, flexible courses of up to 16 weeks. You'll be offered a job interview once you complete the course.","Churchgate House, 56 Oxford St, Manchester",M1 6EU,-2.2419259,53.4752587
3D 360,Digital Bootcamp provider,01942 901 360,info@3d360printer.co.uk,NA,NA,NA,x,NA,x,Adults aged 19 +,https://www.3d360printer.co.uk/,"Online or in-person in Greater Manchester. Digital Skills Bootcamps offer free, flexible courses of up to 16 weeks. You'll be offered a job interview once you complete the course.","da Vinci House, 128A Bradshawgate, Leigh",WN7 4NP,-2.5132112,53.4958895
Apprentify Ltd,Digital Bootcamp provider,0333 996 0165,info@apprentify.com,NA,NA,NA,x,NA,x,Adults aged 19 +,https://www.apprentify.com/,"Online course in Greater Manchester. Digital Skills Bootcamps offer free, flexible courses of up to 16 weeks. You'll be offered a job interview once you complete the course.","Alderley Park, Glasshouse",SK10 4TG,-2.2250851,53.2758016
Avado,Digital Bootcamp provider,0 20 3906 7100,info@avadolearning.com,NA,NA,NA,x,NA,x,Adults aged 19 +,https://www.avadolearning.com/,"Online course in Greater Manchester. Digital Skills Bootcamps offer free, flexible courses of up to 16 weeks. You'll be offered a job interview once you complete the course.","Scale Space, Imperial College White City Campus, 58 Wood Ln, London",W12 7RZ,-0.2227173,51.5138699
Babington,Digital Bootcamp provider,0333 323 4050,customersupport@babington.co.uk,NA,NA,NA,x,NA,x,Adults aged 19 +,https://babington.co.uk/,"Online course in Greater Manchester. Digital Skills Bootcamps offer free, flexible courses of up to 16 weeks. You'll be offered a job interview once you complete the course.","Peter House, Spaces, Oxford Rd, Manchester",M1 5AN,-2.2437884,53.4770916
Back2Work Group,Digital Bootcamp provider,0161 474 7603,info@b2wcompletetraining.com,NA,NA,NA,x,NA,x,Adults aged 19 +,https://b2wcompletetraining.com/,"Online course in Greater Manchester. Digital Skills Bootcamps offer free, flexible courses of up to 16 weeks. You'll be offered a job interview once you complete the course.","Building 4, universal square, Devonshire St, Manchester",M12 6JH,-2.2152885,53.4709142
Birmingham City University,Digital Bootcamp provider,0121 331 7417,CEBEFacultyOffice@bcu.ac.uk,NA,NA,NA,x,NA,x,Adults aged 19 +,https://www.bcu.ac.uk/,"Online course in Greater Manchester. Digital Skills Bootcamps offer free, flexible courses of up to 16 weeks. You'll be offered a job interview once you complete the course.","15 Bartholomew Row, Birmingham",B5 5JU,-1.8888189,52.4822818
CODE Lancashire,Digital Bootcamp provider,NA,codelancashireenquiries@scale-ability.co.uk,NA,NA,NA,x,NA,x,Adults aged 19 +,https://codelancashire.tech/,"Online course in Greater Manchester. Digital Skills Bootcamps offer free, flexible courses of up to 16 weeks. You'll be offered a job interview once you complete the course.","9 Hazelmount Crescent, Millhead, Carnforth",LA5 9HS,-2.7722395,54.135151
Code Nation,Digital Bootcamp provider,01244 722038,hello@wearecodenation.com,NA,NA,NA,x,NA,x,Adults aged 19 +,https://wearecodenation.com/,"Online course in Greater Manchester. Digital Skills Bootcamps offer free, flexible courses of up to 16 weeks. You'll be offered a job interview once you complete the course.","19 Spring Gardens, Greater Manchester",M2 1FB,-2.2413408,53.4813963
Enterprise for All,Digital Bootcamp provider,01254 693999,dms@enterprise4all.co.uk,NA,NA,NA,x,NA,x,Adults aged 19 +,https://dms4all.co.uk/,"Online course in Greater Manchester. Digital Skills Bootcamps offer free, flexible courses of up to 16 weeks. You'll be offered a job interview once you complete the course.","Suite 313, Daisyfield Business Centre, Appleby Street, Blackburn",BB1 3BL,-2.4665506,53.7520819
Firebrand Training,Digital Bootcamp provider,080 80 800 888,info@firebrandtraining.co.uk,NA,NA,NA,x,NA,x,Adults aged 19 +,https://firebrand.training/,"Online course in Greater Manchester. Digital Skills Bootcamps offer free, flexible courses of up to 16 weeks. You'll be offered a job interview once you complete the course.","Unit 8 Waterloo Rd, Stalybridge",SK15 2AU,-2.0608044,53.484692
HyperionDev,Digital Bootcamp provider,020 7193 7595,contact@hyperiondev.com,NA,NA,NA,x,NA,x,Adults aged 19 +,https://www.hyperiondev.com/,"Online course in Greater Manchester. Digital Skills Bootcamps offer free, flexible courses of up to 16 weeks. You'll be offered a job interview once you complete the course.","20-22 Wenlock Road, London",N1 7GU,-0.0936416,51.5305885
IN4.0 Access Ltd,Digital Bootcamp provider,0161 686 5770,info@in40.co.uk,NA,NA,NA,x,NA,x,Adults aged 19 +,https://in4group.co.uk/,"Online or in-person in Salford. Digital Skills Bootcamps offer free, flexible courses of up to 16 weeks. You'll be offered a job interview once you complete the course.","Blue Tower, MediaCity UK, Salford",M50 2ST,-2.2996767,53.4730962
Lakes College,Digital Bootcamp provider,01946 839 300,info@lcwc.ac.uk,NA,NA,NA,x,NA,x,Adults aged 19 +,https://www.lcwc.ac.uk/,"Online course in Greater Manchester. Digital Skills Bootcamps offer free, flexible courses of up to 16 weeks. You'll be offered a job interview once you complete the course.","Lillyhall Business Park, Hallwood Rd, Workington",CA14 4JN,-3.5319809,54.6060055
Mastered Studios,Digital Bootcamp provider,NA,hello@mastered.com,NA,NA,NA,x,NA,x,Adults aged 19 +,https://join.mastered.com/,"Online course in Greater Manchester. Digital Skills Bootcamps offer free, flexible courses of up to 16 weeks. You'll be offered a job interview once you complete the course.","124 City Rd, London",EC1V 2NX,-0.0886887,51.5272364
Netcom Training,Digital Bootcamp provider,0800 002 5404,info@netcomtraining.co.uk,NA,NA,NA,x,NA,x,Adults aged 19 +,https://www.netcomtraining.co.uk/,"Online course in Greater Manchester. Digital Skills Bootcamps offer free, flexible courses of up to 16 weeks. You'll be offered a job interview once you complete the course.","Birmingham Science Park, 4-5 Holt St, Heneage St W, Birmingham",B7 4AX,-1.88513,52.4868038
NIYO Enterprise,Digital Bootcamp provider,NA,bootcamps.niyo.co,NA,NA,NA,x,NA,x,Adults aged 19 +,https://bootcamps.niyo.co/,"Online course in Greater Manchester. Digital Skills Bootcamps offer free, flexible courses of up to 16 weeks. You'll be offered a job interview once you complete the course.","308, Zellig Building, Deritend, Birmingham",B9 4AT,-1.8845949,52.4748459
Northcoders,Digital Bootcamp provider,0333 050 4368,hello@northcoders.com,NA,NA,NA,x,NA,x,Adults aged 19 +,https://northcoders.com/,"Online or in-person in Greater Manchester. Digital Skills Bootcamps offer free, flexible courses of up to 16 weeks. You'll be offered a job interview once you complete the course.","Manchester Technology Centre, 103 Oxford Rd, Manchester",M1 7ED,-2.2382428,53.4720962
Northeastern University London,Digital Bootcamp provider,020 7637 4550,bootcamps@nulondon.ac.uk ,NA,NA,NA,x,NA,x,Adults aged 19 +,https://www.nulondon.ac.uk/,"Online course in Greater Manchester. Digital Skills Bootcamps offer free, flexible courses of up to 16 weeks. You'll be offered a job interview once you complete the course.","Devon House, 58 St Katharine's Way, London",E1W 1LP,-0.071293,51.5061105
Novi Digital,Digital Bootcamp provider,0333 090 5143,hello@novi.digital,NA,NA,NA,x,NA,x,Adults aged 19 +,https://novitraining.com/,"Online course in Greater Manchester. Digital Skills Bootcamps offer free, flexible courses of up to 16 weeks. You'll be offered a job interview once you complete the course.","Heron House, Lincoln Square, Manchester",M2 5LN,-2.2462024,53.4795882
QA Ltd,Digital Bootcamp provider,0345 074 7995,NewBusiness@qa.com,NA,NA,NA,x,NA,x,Adults aged 19 +,https://www.qa.com/,"Online course in Greater Manchester. Digital Skills Bootcamps offer free, flexible courses of up to 16 weeks. You'll be offered a job interview once you complete the course.","8, St James's Bldg, 79 Oxford St, Manchester",M1 6FQ,-2.2414386,53.4755073
School of Code,Digital Bootcamp provider,NA,info@schoolofcode.co.uk,NA,NA,NA,x,NA,x,Adults aged 19 +,https://www.schoolofcode.co.uk/,"Online course in Greater Manchester. Digital Skills Bootcamps offer free, flexible courses of up to 16 weeks. You'll be offered a job interview once you complete the course.","Custard Factory, Gibb Street, Birmingham",B9 4AA,-1.8839175,52.4752761
Skills City,Digital Bootcamp provider,0161 686 5770,studentrecruitment@in4group.co.uk,NA,NA,NA,x,NA,x,Adults aged 19 +,https://www.skills-city.com/,"Online or in-person in Salford. Digital Skills Bootcamps offer free, flexible courses of up to 16 weeks. You'll be offered a job interview once you complete the course.","MediaCity UK, Salford",M50 2ST,-2.3007899,53.4729686
TechTalent Academy,Digital Bootcamp provider,NA,contact@techtalent.co.uk,NA,NA,NA,x,NA,x,Adults aged 19 +,https://www.techtalent.co.uk/,"Online course in Greater Manchester. Digital Skills Bootcamps offer free, flexible courses of up to 16 weeks. You'll be offered a job interview once you complete the course.","6 Brindley Place, Birmingham",B1 2JB,-1.9132683,52.478069
The Data & Marketing Association (DMA),Digital Bootcamp provider,020 7291 3300,email@dma.org.uk,NA,NA,NA,x,NA,x,Adults aged 19 +,https://dma.org.uk/,"Online or in-person in Greater Manchester. Digital Skills Bootcamps offer free, flexible courses of up to 16 weeks. You'll be offered a job interview once you complete the course.","Lynton House, 7-12 Tavistock Square, London",WC1H 9LT,-0.128246,51.525385
The Fearless Academy,Digital Bootcamp provider,NA,admissions@fearlessacademy.co.uk,NA,NA,NA,x,NA,x,Adults aged 19 +,https://www.fearlessacademy.co.uk/,"Online or in-person in Greater Manchester. Digital Skills Bootcamps offer free, flexible courses of up to 16 weeks. You'll be offered a job interview once you complete the course.","85 High St, Manchester",M4 1BD,-2.2367972,53.485177
The Skills Network,Digital Bootcamp provider,01757 600 697,info@skillsnetwork.com,NA,NA,NA,x,NA,x,Adults aged 19 +,https://www.theskillsnetwork.com/,"Online course in Greater Manchester. Digital Skills Bootcamps offer free, flexible courses of up to 16 weeks. You'll be offered a job interview once you complete the course.","Abbey Court, 6 - 16 Benedict Avenue, Selby",YO8 8RY,-1.0676225,53.7660011
The University of Manchester,Digital Bootcamp provider,0161 306 6000,study@manchester.ac.uk,NA,NA,NA,x,NA,x,Adults aged 19 +,https://www.manchester.ac.uk/,"Online course in Greater Manchester. Digital Skills Bootcamps offer free, flexible courses of up to 16 weeks. You'll be offered a job interview once you complete the course.","Oxford Rd, Manchester",M13 9PL,-2.233903,53.4668554
The University of Nottingham Online,Digital Bootcamp provider,020 7193 7595,contact@hyperiondev.com,NA,NA,NA,x,NA,x,Adults aged 19 +,https://coding-bootcamps.nottingham.ac.uk/,"Online course in Greater Manchester. Digital Skills Bootcamps offer free, flexible courses of up to 16 weeks. You'll be offered a job interview once you complete the course.","University of Nottingham, University Park, Nottingham",NG7 2RD,-1.1981062,52.9388117
The University of York,Digital Bootcamp provider,020 7193 7595,contact@hyperiondev.com,NA,NA,NA,x,NA,x,Adults aged 19 +,https://skills.hyperiondev.com/york,"Online course in Greater Manchester. Digital Skills Bootcamps offer free, flexible courses of up to 16 weeks. You'll be offered a job interview once you complete the course.","University of York, York",YO10 5DD,-1.051783,53.9461259
Think Employment,Digital Bootcamp provider,01472 493000,hello@thinkemployment.com,NA,NA,NA,x,NA,x,Adults aged 19 +,https://www.thinkemployment.com/,"Online course in Greater Manchester. Digital Skills Bootcamps offer free, flexible courses of up to 16 weeks. You'll be offered a job interview once you complete the course.","Clarence Arcade, Stamford Street Central, Ashton-under-Lyne",OL6 7LT,-2.0937362,53.486975
We are Digital,Digital Bootcamp provider,03333 444019,info@we-are-digital.co.uk,NA,NA,NA,x,NA,x,Adults aged 19 +,https://www.we-are-digital.co.uk/,"Online course in Greater Manchester. Digital Skills Bootcamps offer free, flexible courses of up to 16 weeks. You'll be offered a job interview once you complete the course.","Friars House, Manor House Drive, Coventry",CV1 2TE,-1.5133513,52.403636
